INFO 2023-11-25 14:22:03,995 Watching for file changes with StatReloader /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:03,996 Waiting for apps ready_event. /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,275 Apps ready_event triggered. Sending autoreload_started signal. /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,290 Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/allauth/templates with glob **/*. /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,290 Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/NewsPaper/news/templates with glob **/*. /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,290 Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/NewsPaper/templates with glob **/*. /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,290 Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/NewsPaper/locale with glob **/*.mo. /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,290 Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/NewsPaper/news/locale with glob **/*.mo. /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,290 Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/allauth/locale with glob **/*.mo. /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,291 Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/allauth/account/locale with glob **/*.mo. /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,291 Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/allauth/socialaccount/locale with glob **/*.mo. /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,291 Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/allauth/socialaccount/providers/google/locale with glob **/*.mo. /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,291 Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/apscheduler/locale with glob **/*.mo. /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,291 Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django_apscheduler/locale with glob **/*.mo. /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,312 (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/db/backends/utils.py None
DEBUG 2023-11-25 14:22:04,313 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/db/backends/utils.py None
DEBUG 2023-11-25 14:22:04,336 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/urls/resolvers.py first seen with mtime 1696143531.0101547 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,336 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/allauth/socialaccount/providers/oauth2/urls.py first seen with mtime 1696145999.7838142 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,336 File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_random.cpython-311-darwin.so first seen with mtime 1692889411.0 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
