INFO 2023-11-25 14:22:03,995 autoreload Watching for file changes with StatReloader
DEBUG 2023-11-25 14:22:03,996 autoreload Waiting for apps ready_event.
DEBUG 2023-11-25 14:22:04,275 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-11-25 14:22:04,290 autoreload Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/allauth/templates with glob **/*.
DEBUG 2023-11-25 14:22:04,290 autoreload Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/NewsPaper/news/templates with glob **/*.
DEBUG 2023-11-25 14:22:04,290 autoreload Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/NewsPaper/templates with glob **/*.
DEBUG 2023-11-25 14:22:04,290 autoreload Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/NewsPaper/locale with glob **/*.mo.
DEBUG 2023-11-25 14:22:04,290 autoreload Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/NewsPaper/news/locale with glob **/*.mo.
DEBUG 2023-11-25 14:22:04,290 autoreload Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/allauth/locale with glob **/*.mo.
DEBUG 2023-11-25 14:22:04,291 autoreload Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/allauth/account/locale with glob **/*.mo.
DEBUG 2023-11-25 14:22:04,291 autoreload Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/allauth/socialaccount/locale with glob **/*.mo.
DEBUG 2023-11-25 14:22:04,291 autoreload Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/allauth/socialaccount/providers/google/locale with glob **/*.mo.
DEBUG 2023-11-25 14:22:04,291 autoreload Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/apscheduler/locale with glob **/*.mo.
DEBUG 2023-11-25 14:22:04,291 autoreload Watching dir /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django_apscheduler/locale with glob **/*.mo.
DEBUG 2023-11-25 14:22:04,312 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2023-11-25 14:22:04,313 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2023-11-25 14:22:04,336 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/urls/resolvers.py first seen with mtime 1696143531.0101547
DEBUG 2023-11-25 14:22:04,336 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/allauth/socialaccount/providers/oauth2/urls.py first seen with mtime 1696145999.7838142
DEBUG 2023-11-25 14:22:04,336 autoreload File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_random.cpython-311-darwin.so first seen with mtime 1692889411.0
DEBUG 2023-11-25 14:22:04,336 autoreload File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/thread.py first seen with mtime 1692889090.0
DEBUG 2023-11-25 14:22:04,336 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/db/backends/sqlite3/operations.py first seen with mtime 1696143530.9855654
DEBUG 2023-11-25 14:22:04,336 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/NewsPaper/NewsPaper/__init__.py first seen with mtime 1696908049.2467942
DEBUG 2023-11-25 14:22:04,336 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/NewsPaper/news/views.py first seen with mtime 1696982066.2549846
DEBUG 2023-11-25 14:22:04,336 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/urls/conf.py first seen with mtime 1696143531.009866
DEBUG 2023-11-25 14:22:04,336 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/db/backends/sqlite3/_functions.py first seen with mtime 1696143530.9849715
DEBUG 2023-11-25 14:22:04,337 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/contrib/contenttypes/checks.py first seen with mtime 1696143530.7468238
DEBUG 2023-11-25 14:22:04,337 autoreload File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/queues.py first seen with mtime 1692889091.0
DEBUG 2023-11-25 14:22:04,337 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/NewsPaper/NewsPaper/celery.py first seen with mtime 1696986122.4296887
DEBUG 2023-11-25 14:22:04,337 autoreload File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/charset.py first seen with mtime 1692889090.0
DEBUG 2023-11-25 14:22:04,337 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/kombu/utils/imports.py first seen with mtime 1696385028.986824
DEBUG 2023-11-25 14:22:04,337 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/core/checks/__init__.py first seen with mtime 1696143530.9703567
DEBUG 2023-11-25 14:22:04,337 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1696143530.987245
DEBUG 2023-11-25 14:22:04,337 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/contrib/messages/middleware.py first seen with mtime 1696143530.8644524
DEBUG 2023-11-25 14:22:04,337 autoreload File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/base_futures.py first seen with mtime 1692889090.0
DEBUG 2023-11-25 14:22:04,337 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/template/loaders/__init__.py first seen with mtime 1696143531.006869
DEBUG 2023-11-25 14:22:04,337 autoreload File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/contrib/sessions/exceptions.py first seen with mtime 1696143530.9130352
